| i  | V                                        | fitness              | AH3                  | AF3                 | AF5                 | A3N3                | s                 | tau                | lambda1              | lambda2             |
| 76 | 0.00000118717983730908238660663959335    | 2.90318021593881e-12 | -1.0682376753994305  | -97.90831020153306  | -86.76783648519097  | 74.72934004678973   | 98.00806871716583 | 66.70673178814062  | -3.40251781630044e-8 | 3.40243444594479e-8 |
| 77 | 0.00000988515325176522371140083039753    | 2.70040380445061e-11 | 2.153310752823458    | -29.914393982759236 | -86.06054366697138  | -26.422172521957265 | 97.41710184041696 | 17.70928123790487  | -7.57881460226148e-8 | 7.58301249270537e-8 |
| 78 | 0.000179190285586059517902376980736      | 5.32517805506784e-10 | 16.816441881450643   | -78.42086359752352  | -82.1811745655472   | -3.182127474503062  | 92.7325514390236  | 9.243641040225125  | -7.61335061804160e-7 | 7.61332850075765e-7 |
| 79 | 0.0000720904469565832582179931709021     | 2.34584041316472e-10 | 12.875952147328547   | -82.01557177686063  | -35.786259590130726 | -88.19078608543725  | 97.11778139622376 | 12.515378995412863 | -4.61001965158819e-7 | 4.61032426492946e-7 |
| 80 | 0.000000697493321092841915467136493234   | 8.72186278579499e-12 | -0.7772650893591617  | -32.37231534562572  | 3.5706445408409024  | 34.865048125658916  | 93.11727022062868 | 43.2171386965709   | -3.03319167568237e-8 | 3.03475840093827e-8 |
| 81 | 0.000134536503314422787279391879878      | 2.34085414452198e-10 | 10.155114832697308   | -70.7178792647563   | -83.31389069649195  | 9.518347275076707   | 91.14709565504413 | 9.8888333014579    | -5.10759998004326e-7 | 5.10775386918523e-7 |
| 82 | 0.0000192127153429743274338017955394     | 1.43941952719252e-10 | 8.750408182342937    | -24.94736815127807  | -30.85329957286669  | -92.87113237667495  | 99.20593471199905 | 13.011745748971537 | -2.76570744651468e-7 | 2.76540465186461e-7 |
| 83 | 0.00000120298193142081439184183991320    | 3.03164189990110e-12 | 0.36595167162730036  | -2.4316462653339244 | -44.38254302406948  | -4.370078740491223  | 98.42717164842149 | 16.70618810150659  | -1.20230070124622e-8 | 1.20287589250176e-8 |
| 84 | 0.000000176522332057347555690166723830   | 6.62956386414156e-12 | 1.3402636012163356   | -97.71094628723027  | 93.44327612715892   | -74.45598604214318  | 94.03348624092067 | 56.21812334969407  | -5.26296765290439e-8 | 5.26277216801075e-8 |
| 85 | 0.000000868725379841057225978545944245   | 1.51236135445319e-12 | 0.7329449325486053   | -36.28589623570786  | -21.14164137958153  | -34.28290632667641  | 85.56510757632459 | 48.86690700038867  | -4.18830826425440e-8 | 4.18832465770624e-8 |
| 86 | 0.0000322834883478473517754575583538     | 5.77646438793610e-11 | 6.446199491309116    | -71.96217461497318  | 41.944924243090384  | -63.38809518897677  | 99.72019215392777 | 15.456622188216574 | -2.08445240390786e-7 | 2.08439983579666e-7 |
| 87 | 0.000000669103027187344786625355572141   | 4.47766152048360e-12 | 1.6139831585758344   | -67.34813923094143  | 16.564795249779834  | -83.2216096090109   | 97.6009837485278  | 52.635922522368006 | -5.41698994041746e-8 | 5.41726320430184e-8 |
| 88 | 0.0000366038013921568062061795423290     | 3.28498150651275e-10 | 4.896545762615688    | -98.1919325597261   | -87.50673579245347  | -38.27687106824922  | 99.8706822021567  | 16.647138951547312 | -1.63787490004249e-7 | 1.64386426229097e-7 |
| 89 | 0.0000168645200635219710263643100312     | 8.01325711995137e-11 | 6.391681357291105    | -47.87491913675961  | -98.67877836985772  | -91.50718207858904  | 96.39005636283818 | 17.27335654256227  | -2.28625580209457e-7 | 2.28678055933672e-7 |
| 90 | 0.0000421866703073922800397779764303     | 7.54437754264760e-11 | 7.578472778994055    | -48.72106256477402  | 41.44829007699644   | -49.842400271422036 | 99.07233677504824 | 12.451123282572285 | -2.51192230299746e-7 | 2.51207823216385e-7 |
| 91 | 0.0000120103984006148090639279693570     | 9.11449970004250e-11 | 8.708581084014355    | -14.340845713391644 | 53.222092115014306  | -96.22855896833936  | 99.43305750163495 | 12.476204379146916 | -2.70514679242630e-7 | 2.70509244546482e-7 |
| 92 | 0.00000144884110258153980979698317172    | 1.13735808807378e-11 | -1.9335180825406297  | -56.848293216500736 | -91.99918821935739  | 97.695252215322     | 99.92803185257033 | 48.699599806930735 | -5.74525524461063e-8 | 5.74679597346233e-8 |
| 93 | 0.000229064928098185585430765498494      | 1.14203301112857e-9  | 29.61847534775424    | -38.04985342051865  | 74.23943274498995   | 22.190575289510875  | 97.4123045982033  | 6.569475032349925  | -1.05684378619063e-6 | 1.05684615427455e-6 |
| 94 | 0.0000159777411574780548505353428013     | 2.25865359143976e-11 | 0.9088965412569934   | -83.7712907929242   | -55.2148986613324   | -3.4703067806290306 | 90.05057350283334 | 21.597258792931186 | -5.46214186160211e-8 | 5.46615888732867e-8 |
| 95 | 0.000000601714320504728887570636795823   | 2.90248828557225e-12 | -0.5312980409825911  | -1.5493601245613462 | -56.138189815625196 | 24.566729086700676  | 90.204418984125   | 44.17042942783925  | -2.40356906565290e-8 | 2.40404482793891e-8 |
| 96 | 0.00000598214524585124480377234384987    | 5.48249261514593e-12 | 1.8635477025111555   | -48.77685259098779  | -82.78926470268146  | -38.07478800975663  | 97.66968860774092 | 24.927090127665853 | -6.43787889679376e-8 | 6.43809870964472e-8 |
| 97 | 0.000124239563681793110374793065454      | 2.03756714393622e-10 | 11.600022008922267   | -56.39892665886652  | 64.09902598267024   | 11.019271998890545  | 96.69080519031245 | 9.203028283827287  | -4.50405256018644e-7 | 4.50413892579255e-7 |
| 98 | 0.0000233978749991500430940784965861     | 2.37759724796021e-10 | 7.886929517356393    | -21.84108487855272  | -99.52500336427099  | -67.73000874679519  | 98.70702232943228 | 11.803162485363272 | -2.55552933515837e-7 | 2.55887298300369e-7 |
