idx,V,V_O,fitness,AH3,AH3_O,AF3,AF3_O,AF5,AF5_O,A3N3,A3N3_O,AD5,AD5_O,s,tau,lambda1,lambda1_O,lambda2,lambda2_O,taquiónico,taquiónico_O
32,-6.88299466696384639373574956693,-0.000117130000000000000000000000000,0.0651392703927822,4.616627772362293,0.268442466227236679300000000000,-42.886108600606796,-0.0397849749059725573000000000000,47.38982612846931,1.63592151122898482000000000000,-61.60697076635173,-1.78776421956490615900000000000,51.67819777836661,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.133826640431588,0.00123830000000000000000000000000,19.6971104768960,0.00602760000000000000000000000000,1,0
33,-1.57690624141855755500474574843,-0.000117130000000000000000000000000,0.144838380965537,3.574634424555285,0.268442466227236679300000000000,-13.180943262710016,-0.0397849749059725573000000000000,30.943969990402167,1.63592151122898482000000000000,-34.47864134333777,-1.78776421956490615900000000000,27.301489728171106,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.0714884885115112,0.00123830000000000000000000000000,22.8400131745517,0.00602760000000000000000000000000,0,0
34,6.85557054747263374060440977130,-0.000117130000000000000000000000000,0.199917666778575,30.83734478986088,0.268442466227236679300000000000,71.21573525076005,-0.0397849749059725573000000000000,-47.38594012251911,1.63592151122898482000000000000,-70.22407361731403,-1.78776421956490615900000000000,13.185311689069195,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-4.58947218309236,0.00123830000000000000000000000000,22.5425535742916,0.00602760000000000000000000000000,1,0
35,13.0013866713524950090728755769,-0.000117130000000000000000000000000,0.129433986223424,27.10225824513479,0.268442466227236679300000000000,95.55918113050646,-0.0397849749059725573000000000000,23.28960797359099,1.63592151122898482000000000000,-83.1750548228646,-1.78776421956490615900000000000,-10.037353886583091,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.264814101695369,0.00123830000000000000000000000000,67.6231917123342,0.00602760000000000000000000000000,1,0
36,12.4540253948175768102457445613,-0.000117130000000000000000000000000,0.130338976771449,16.540064127234984,0.268442466227236679300000000000,61.17052887595753,-0.0397849749059725573000000000000,5.527521379255688,1.63592151122898482000000000000,-27.633506093247803,-1.78776421956490615900000000000,-20.973812146074792,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.248246287355395,0.00123830000000000000000000000000,49.8883333279110,0.00602760000000000000000000000000,1,0
37,-1.41671363596075481829225158652,-0.000117130000000000000000000000000,0.0647542408873698,2.66493608958433,0.268442466227236679300000000000,1.9939473187170762,-0.0397849749059725573000000000000,-19.614058612124467,1.63592151122898482000000000000,-3.408573231543542,-1.78776421956490615900000000000,7.566562242933543,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-11.7740533240911,0.00123830000000000000000000000000,0.163067626826476,0.00602760000000000000000000000000,1,0
38,-7.39826803905612303006390876708,-0.000117130000000000000000000000000,0.117697577729695,9.156991716507974,0.268442466227236679300000000000,-67.24503083190949,-0.0397849749059725573000000000000,27.953227259694557,1.63592151122898482000000000000,-60.41085981426099,-1.78776421956490615900000000000,70.88406835355809,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.906757243034534,0.00123830000000000000000000000000,19.5608520391913,0.00602760000000000000000000000000,1,0
39,7.91586521144413957414987829931,-0.000117130000000000000000000000000,0.142821352475357,21.166886049166365,0.268442466227236679300000000000,58.78527369420158,-0.0397849749059725573000000000000,16.591217076027263,1.63592151122898482000000000000,-68.58561276796632,-1.78776421956490615900000000000,3.2939397780054946,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.431135427604476,0.00123830000000000000000000000000,48.0091684081016,0.00602760000000000000000000000000,1,0
40,12.1182330791671465626879436592,-0.000117130000000000000000000000000,0.0597523318909056,18.709847377974384,0.268442466227236679300000000000,66.44376519817311,-0.0397849749059725573000000000000,71.08301125368527,1.63592151122898482000000000000,-79.05404912335963,-1.78776421956490615900000000000,-6.927854919423737,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.233897068987999,0.00123830000000000000000000000000,87.2157730258309,0.00602760000000000000000000000000,0,0
41,-1.43481747443730187353467369089,-0.000117130000000000000000000000000,0.0234274870969886,-2.3446005361548004,0.268442466227236679300000000000,-26.619058575024226,-0.0397849749059725573000000000000,56.056264964143395,1.63592151122898482000000000000,-25.101299802477513,-1.78776421956490615900000000000,20.95806591529734,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.115312167863864,0.00123830000000000000000000000000,31.8562071976884,0.00602760000000000000000000000000,1,0
